Id, Source, Target
0,31, 65
1,0, 98
2,1763, 3097
3,107, 4729
4,875, 3297
5,452, 2829
6,1131, 3137
7,445, 2888
8,160, 3453
9,367, 757
10,100, 308
11,1233, 2666
12,1457, 3946
13,100, 302
14,1457, 3942
15,9, 1811
16,2697, 3115
17,1929, 4602
18,865, 1488
19,647, 3397
20,3094, 3440
21,69, 3729
22,10, 3418
23,302, 4428
24,1230, 1979
25,676, 2683
26,800, 812
27,1079, 2226
28,577, 703
29,871, 4885
30,8, 862
31,58, 713
32,165, 3108
33,2078, 3090
34,2139, 2645
35,436, 3609
36,592, 2371
37,577, 3361
38,0, 1600
39,3212, 4627
40,169, 1561
41,637, 1810
42,390, 590
43,717, 1011
44,184, 369
45,2006, 2715
46,65, 1918
47,68, 4164
48,818, 4078
49,1342, 1367
50,3287, 4097
51,3045, 3572
52,1880, 3723
53,1857, 3968
54,1356, 2401
55,467, 977
56,2014, 2146
57,1979, 3064
58,85, 264
59,1411, 1498
60,2285, 4133
61,951, 2615
62,1638, 3540
63,3679, 4053
64,6, 3106
65,1515, 4782
66,53, 2847
67,34, 76
68,19, 3095
69,70, 4736
70,13, 388
71,827, 3042
72,227, 825
73,204, 2341
74,3589, 4757
75,136, 167
76,489, 3568
77,3711, 4628
78,10, 3694
79,504, 1520
80,749, 3410
81,68, 95
82,420, 3671
83,712, 3997
84,3231, 3743
85,3128, 4000
86,684, 3764
87,438, 1799
88,1, 648
89,2616, 4061
90,2761, 2877
91,179, 1307
92,799, 965
93,1243, 3234
94,404, 4079
95,1059, 3176
96,183, 4667
97,75, 325
98,352, 1251
99,959, 3372
100,3, 3738
101,2565, 2727
102,50, 949
103,363, 1089
104,2, 259
105,2572, 4920
106,401, 4780
107,127, 182
108,485, 2250
109,581, 631
110,721, 885
111,1303, 3472
112,815, 4194
113,931, 3750
114,238, 2550
115,161, 3567
116,373, 2663
117,2836, 4775
118,90, 239
119,164, 632
120,111, 4223
121,1011, 1185
122,1440, 1581
123,2499, 3334
124,1973, 3981
125,2648, 4976
126,69, 1270
127,282, 2626
128,136, 2476
129,1161, 3388
130,789, 1956
131,436, 1042
132,100, 2460
133,1357, 2106
134,1273, 3922
135,1530, 1943
136,533, 4990
137,244, 1355
138,1166, 3923
139,3671, 3877
140,1247, 4289
141,302, 424
142,1311, 1430
143,47, 2577
144,2019, 3419
145,1, 2111
146,1, 2113
147,1180, 2170
148,174, 1776
149,132, 172
150,1097, 3096
151,128, 1097
152,648, 3069
153,849, 2648
154,94, 2651
155,458, 2394
156,58, 903
157,165, 487
158,2382, 3928
159,4, 4317
160,1201, 2003
161,290, 2136
162,382, 456
163,33, 360
164,1037, 1414
165,1161, 3020
166,2362, 4214
167,90, 343
168,8, 2051
169,117, 272
170,77, 1757
171,129, 1751
172,128, 1329
173,38, 2252
174,292, 3673
175,23, 3690
176,3858, 4008
177,418, 1486
178,1768, 2482
179,1488, 1534
180,678, 4250
181,555, 1762
182,175, 3648
183,51, 1874
184,2930, 4590
185,330, 4352
186,1853, 3070
187,175, 4677
188,1677, 2088
189,3588, 4873
190,143, 1384
191,92, 3522
192,100, 155
193,198, 4718
194,258, 2682
195,247, 1890
196,1570, 3228
197,16, 2107
198,516, 3441
199,3678, 4660
200,404, 3260
201,95, 1963
202,284, 1660
203,834, 1004
204,2040, 3461
205,1141, 2487
206,789, 2030
207,987, 2426
208,107, 215
209,2, 14
210,2, 16
211,0, 2356
212,2, 10
213,1167, 4365
214,1141, 1481
215,229, 2815
216,2, 18
217,1026, 2129
218,86, 474
219,1640, 4873
220,1, 2804
221,787, 1755
222,1, 2803
223,811, 3211
224,25, 2947
225,7, 1777
226,9, 4562
227,343, 1191
228,653, 2276
229,1680, 4387
230,1, 11
231,172, 481
232,274, 1135
233,541, 4879
234,125, 132
235,1815, 4681
236,4, 1666
237,95, 716
238,33, 1338
239,363, 2304
240,39, 94
241,1137, 4804
242,1264, 3482
243,902, 2015
244,6, 266
245,4026, 4162
246,1632, 1959
247,4413, 4801
248,107, 2870
249,1065, 1504
250,190, 1199
251,2502, 3174
252,3458, 4632
253,360, 1287
254,7, 3807
255,961, 4144
256,1435, 2052
257,2131, 4034
258,725, 1028
259,1536, 3235
260,33, 2788
261,684, 826
262,349, 1230
263,129, 1972
264,1114, 4106
265,453, 864
266,312, 429
267,1393, 1451
268,738, 4269
269,1073, 2529
270,1388, 3608
271,1541, 2691
272,1533, 1565
273,478, 3219
274,332, 1029
275,3392, 3969
276,1413, 4730
277,218, 4227
278,106, 562
279,3108, 4200
280,4096, 4121
281,130, 717
282,1769, 2716
283,1361, 1788
284,532, 1423
285,95, 2684
286,1737, 3417
287,69, 233
288,274, 3755
289,3140, 4181
290,1088, 3803
291,285, 2288
292,10, 53
293,34, 2816
294,1796, 3708
295,258, 969
296,2859, 3121
297,8, 495
298,290, 989
299,1608, 3401
300,565, 4936
301,461, 2158
302,531, 3157
303,1, 1124
304,438, 747
305,2, 759
306,53, 139
307,1704, 2662
308,272, 3085
