Id, Source, Target, Type
0,0, 38,Undirected
1,0, 1192,Undirected
2,0, 1356,Undirected
3,0, 1793,Undirected
4,0, 3418,Undirected
5,0, 3705,Undirected
6,0, 4031,Undirected
7,0, 4135,Undirected
8,0, 4310,Undirected
9,0, 4702,Undirected
10,0, 4779,Undirected
11,1, 47,Undirected
12,1, 142,Undirected
13,1, 391,Undirected
14,1, 401,Undirected
15,1, 1614,Undirected
16,1, 2300,Undirected
17,1, 2346,Undirected
18,1, 2485,Undirected
19,1, 2608,Undirected
20,1, 2842,Undirected
21,1, 3492,Undirected
22,1, 3496,Undirected
23,1, 4186,Undirected
24,1, 4436,Undirected
25,1, 4679,Undirected
26,1, 4795,Undirected
27,2, 72,Undirected
28,2, 176,Undirected
29,2, 427,Undirected
30,2, 955,Undirected
31,2, 1056,Undirected
32,2, 1065,Undirected
33,2, 1339,Undirected
34,2, 1506,Undirected
35,2, 2005,Undirected
36,2, 2198,Undirected
37,2, 2918,Undirected
38,2, 3518,Undirected
39,3, 97,Undirected
40,3, 719,Undirected
41,3, 1014,Undirected
42,3, 1387,Undirected
43,3, 2256,Undirected
44,3, 2536,Undirected
45,3, 2587,Undirected
46,3, 2622,Undirected
47,3, 2723,Undirected
48,3, 3189,Undirected
49,3, 4308,Undirected
50,3, 4456,Undirected
51,3, 4733,Undirected
52,4, 674,Undirected
53,4, 783,Undirected
54,4, 793,Undirected
55,4, 1564,Undirected
56,4, 1672,Undirected
57,4, 2662,Undirected
58,4, 3040,Undirected
59,4, 3277,Undirected
60,4, 3542,Undirected
61,4, 3590,Undirected
62,4, 4286,Undirected
63,4, 4723,Undirected
64,5, 179,Undirected
65,5, 531,Undirected
66,5, 623,Undirected
67,5, 1226,Undirected
68,5, 1737,Undirected
69,5, 1852,Undirected
70,5, 3219,Undirected
71,5, 3442,Undirected
72,5, 4290,Undirected
73,5, 4431,Undirected
74,5, 4495,Undirected
75,5, 4642,Undirected
76,5, 4851,Undirected
77,6, 482,Undirected
78,6, 1622,Undirected
79,6, 1851,Undirected
80,6, 2115,Undirected
81,6, 2558,Undirected
82,6, 2627,Undirected
83,6, 2836,Undirected
84,6, 2976,Undirected
85,6, 2995,Undirected
86,6, 3147,Undirected
87,6, 3429,Undirected
88,6, 3689,Undirected
89,6, 3787,Undirected
90,6, 4040,Undirected
91,6, 4523,Undirected
92,7, 683,Undirected
93,7, 700,Undirected
94,7, 761,Undirected
95,7, 916,Undirected
96,7, 1215,Undirected
97,7, 1275,Undirected
98,7, 1367,Undirected
99,7, 2127,Undirected
100,7, 3164,Undirected
101,7, 3423,Undirected
102,7, 4375,Undirected
103,7, 4676,Undirected
104,8, 214,Undirected
105,8, 1264,Undirected
106,8, 1361,Undirected
107,8, 2079,Undirected
108,8, 2211,Undirected
109,8, 2496,Undirected
110,8, 3498,Undirected
