Id, Source, Target, Type
0,0, 357,Undirected
1,1, 47,Undirected
2,2, 758,Undirected
3,2, 813,Undirected
4,3, 533,Undirected
5,3, 790,Undirected
6,4, 700,Undirected
7,4, 707,Undirected
8,5, 334,Undirected
9,5, 933,Undirected
10,6, 566,Undirected
11,6, 660,Undirected
12,6, 777,Undirected
13,7, 285,Undirected
14,7, 523,Undirected
15,7, 789,Undirected
16,7, 892,Undirected
17,8, 37,Undirected
18,8, 587,Undirected
19,8, 869,Undirected
20,9, 10,Undirected
21,9, 15,Undirected
22,9, 87,Undirected
23,9, 149,Undirected
24,9, 509,Undirected
25,9, 529,Undirected
26,9, 806,Undirected
27,9, 954,Undirected
28,10, 323,Undirected
29,11, 727,Undirected
30,11, 866,Undirected
31,11, 976,Undirected
32,13, 458,Undirected
33,13, 614,Undirected
34,14, 88,Undirected
35,14, 457,Undirected
36,14, 488,Undirected
37,16, 185,Undirected
38,16, 425,Undirected
39,16, 865,Undirected
40,17, 271,Undirected
41,18, 16,Undirected
42,18, 549,Undirected
43,18, 685,Undirected
44,18, 729,Undirected
45,19, 38,Undirected
46,19, 910,Undirected
47,20, 876,Undirected
48,21, 971,Undirected
49,23, 379,Undirected
50,25, 416,Undirected
51,25, 883,Undirected
52,26, 159,Undirected
53,26, 810,Undirected
54,26, 952,Undirected
55,27, 50,Undirected
56,27, 597,Undirected
57,27, 790,Undirected
58,28, 489,Undirected
59,28, 636,Undirected
60,30, 227,Undirected
61,30, 587,Undirected
62,30, 720,Undirected
63,31, 613,Undirected
64,31, 687,Undirected
65,31, 852,Undirected
66,32, 26,Undirected
67,33, 236,Undirected
68,35, 421,Undirected
69,35, 681,Undirected
70,36, 150,Undirected
71,36, 970,Undirected
72,39, 177,Undirected
73,39, 439,Undirected
74,40, 101,Undirected
75,40, 727,Undirected
76,41, 42,Undirected
77,42, 228,Undirected
78,42, 794,Undirected
79,43, 87,Undirected
80,43, 519,Undirected
81,45, 75,Undirected
82,45, 385,Undirected
83,46, 27,Undirected
84,47, 61,Undirected
85,47, 129,Undirected
86,47, 403,Undirected
87,47, 583,Undirected
88,48, 753,Undirected
89,49, 499,Undirected
90,49, 862,Undirected
91,49, 876,Undirected
92,50, 75,Undirected
93,50, 333,Undirected
94,51, 103,Undirected
95,51, 333,Undirected
96,51, 713,Undirected
97,53, 56,Undirected
98,53, 187,Undirected
99,53, 304,Undirected
100,53, 519,Undirected
101,53, 830,Undirected
102,53, 963,Undirected
103,54, 158,Undirected
104,54, 352,Undirected
105,54, 581,Undirected
