Id, Source, Target, Type
0,0, 178,Undirected
1,0, 185,Undirected
2,1, 22,Undirected
3,1, 430,Undirected
4,1, 458,Undirected
5,2, 120,Undirected
6,2, 338,Undirected
7,2, 374,Undirected
8,2, 387,Undirected
9,2, 394,Undirected
10,2, 496,Undirected
11,3, 359,Undirected
12,4, 136,Undirected
13,4, 309,Undirected
14,4, 330,Undirected
15,4, 347,Undirected
16,5, 249,Undirected
17,5, 320,Undirected
18,5, 348,Undirected
19,5, 371,Undirected
20,5, 373,Undirected
21,6, 83,Undirected
22,6, 346,Undirected
23,6, 348,Undirected
24,6, 418,Undirected
25,6, 433,Undirected
26,7, 51,Undirected
27,7, 111,Undirected
28,7, 227,Undirected
29,7, 307,Undirected
30,7, 494,Undirected
31,8, 27,Undirected
32,8, 269,Undirected
33,8, 316,Undirected
34,9, 57,Undirected
35,9, 158,Undirected
36,9, 164,Undirected
37,9, 233,Undirected
38,9, 415,Undirected
39,9, 499,Undirected
40,10, 15,Undirected
41,10, 25,Undirected
42,10, 135,Undirected
43,10, 277,Undirected
44,10, 424,Undirected
45,10, 487,Undirected
46,11, 289,Undirected
47,11, 391,Undirected
48,12, 297,Undirected
49,13, 7,Undirected
50,13, 149,Undirected
51,13, 332,Undirected
52,13, 386,Undirected
53,14, 145,Undirected
54,14, 149,Undirected
55,14, 290,Undirected
56,15, 45,Undirected
57,15, 108,Undirected
58,15, 202,Undirected
59,15, 250,Undirected
60,15, 472,Undirected
61,16, 16,Undirected
62,16, 91,Undirected
63,16, 122,Undirected
64,16, 145,Undirected
65,16, 348,Undirected
66,17, 158,Undirected
67,17, 190,Undirected
68,17, 221,Undirected
69,17, 229,Undirected
70,17, 254,Undirected
71,17, 280,Undirected
72,17, 479,Undirected
73,18, 84,Undirected
74,18, 121,Undirected
75,18, 136,Undirected
76,18, 255,Undirected
77,18, 334,Undirected
78,18, 459,Undirected
79,19, 31,Undirected
80,19, 46,Undirected
81,19, 145,Undirected
82,19, 431,Undirected
83,20, 119,Undirected
84,20, 414,Undirected
85,21, 256,Undirected
86,21, 272,Undirected
87,21, 281,Undirected
88,21, 329,Undirected
89,22, 395,Undirected
90,22, 398,Undirected
91,22, 408,Undirected
92,23, 73,Undirected
93,23, 225,Undirected
94,23, 229,Undirected
95,23, 318,Undirected
96,23, 390,Undirected
97,23, 466,Undirected
98,24, 84,Undirected
99,24, 327,Undirected
100,24, 345,Undirected
101,25, 155,Undirected
102,26, 150,Undirected
103,26, 169,Undirected
104,26, 257,Undirected
105,26, 321,Undirected
