Id, Source, Target, Type
0,3, 429,Undirected
1,5, 126,Undirected
2,7, 167,Undirected
3,10, 50,Undirected
4,12, 345,Undirected
5,17, 425,Undirected
6,19, 341,Undirected
7,22, 362,Undirected
8,25, 325,Undirected
9,29, 362,Undirected
10,39, 399,Undirected
11,40, 495,Undirected
12,41, 33,Undirected
13,42, 38,Undirected
14,46, 267,Undirected
15,47, 369,Undirected
16,47, 442,Undirected
17,50, 471,Undirected
18,53, 43,Undirected
19,53, 375,Undirected
20,56, 85,Undirected
21,56, 461,Undirected
22,56, 463,Undirected
23,61, 337,Undirected
24,64, 119,Undirected
25,66, 233,Undirected
26,67, 274,Undirected
27,73, 42,Undirected
28,76, 479,Undirected
29,79, 43,Undirected
30,81, 223,Undirected
31,84, 132,Undirected
32,87, 316,Undirected
33,94, 179,Undirected
34,94, 248,Undirected
35,99, 221,Undirected
36,102, 348,Undirected
37,109, 121,Undirected
38,109, 159,Undirected
39,112, 108,Undirected
40,112, 379,Undirected
41,114, 313,Undirected
42,115, 256,Undirected
43,120, 470,Undirected
44,121, 107,Undirected
45,125, 40,Undirected
46,128, 160,Undirected
47,130, 290,Undirected
48,142, 404,Undirected
49,143, 295,Undirected
50,147, 168,Undirected
51,149, 37,Undirected
52,149, 80,Undirected
53,149, 125,Undirected
54,150, 419,Undirected
55,152, 359,Undirected
56,153, 467,Undirected
57,161, 13,Undirected
58,161, 190,Undirected
59,162, 330,Undirected
60,163, 47,Undirected
61,163, 301,Undirected
62,165, 172,Undirected
63,171, 239,Undirected
64,173, 210,Undirected
65,173, 259,Undirected
66,174, 325,Undirected
67,176, 400,Undirected
68,177, 155,Undirected
69,177, 290,Undirected
70,177, 452,Undirected
71,178, 431,Undirected
72,181, 330,Undirected
73,182, 319,Undirected
74,184, 416,Undirected
75,187, 445,Undirected
76,190, 42,Undirected
77,190, 173,Undirected
78,191, 343,Undirected
79,191, 439,Undirected
80,195, 198,Undirected
81,199, 130,Undirected
82,200, 346,Undirected
83,203, 136,Undirected
84,206, 380,Undirected
85,206, 408,Undirected
86,207, 173,Undirected
87,207, 498,Undirected
88,210, 489,Undirected
89,213, 231,Undirected
90,214, 39,Undirected
91,214, 158,Undirected
92,220, 495,Undirected
93,226, 41,Undirected
94,226, 97,Undirected
95,227, 53,Undirected
96,227, 365,Undirected
97,229, 26,Undirected
98,231, 337,Undirected
99,234, 376,Undirected
100,235, 290,Undirected
101,238, 49,Undirected
102,240, 176,Undirected
103,241, 86,Undirected
104,241, 433,Undirected
105,243, 52,Undirected
106,247, 489,Undirected
107,252, 32,Undirected
108,254, 56,Undirected
109,255, 53,Undirected
110,257, 100,Undirected
111,258, 69,Undirected
112,260, 407,Undirected
113,261, 369,Undirected
114,264, 245,Undirected
115,265, 468,Undirected
116,266, 394,Undirected
117,267, 198,Undirected
118,269, 232,Undirected
119,271, 179,Undirected
120,273, 104,Undirected
121,274, 52,Undirected
122,274, 72,Undirected
123,275, 278,Undirected
124,278, 334,Undirected
125,280, 91,Undirected
126,282, 414,Undirected
127,283, 244,Undirected
128,286, 491,Undirected
129,290, 349,Undirected
130,292, 116,Undirected
131,297, 453,Undirected
132,299, 220,Undirected
133,299, 322,Undirected
134,302, 356,Undirected
135,305, 326,Undirected
136,306, 366,Undirected
137,308, 439,Undirected
138,310, 288,Undirected
139,310, 468,Undirected
140,311, 27,Undirected
141,312, 72,Undirected
142,312, 101,Undirected
143,313, 33,Undirected
144,314, 139,Undirected
145,316, 326,Undirected
146,317, 148,Undirected
147,318, 181,Undirected
148,318, 240,Undirected
149,321, 95,Undirected
150,323, 459,Undirected
151,326, 160,Undirected
152,327, 231,Undirected
153,327, 359,Undirected
154,329, 359,Undirected
155,332, 67,Undirected
156,332, 419,Undirected
157,332, 440,Undirected
158,335, 62,Undirected
159,335, 106,Undirected
160,335, 448,Undirected
161,338, 67,Undirected
162,343, 25,Undirected
163,343, 149,Undirected
164,343, 450,Undirected
165,346, 290,Undirected
166,351, 258,Undirected
167,352, 15,Undirected
168,352, 341,Undirected
169,353, 56,Undirected
170,354, 312,Undirected
171,356, 310,Undirected
172,356, 400,Undirected
173,357, 441,Undirected
174,360, 53,Undirected
175,361, 434,Undirected
176,365, 58,Undirected
177,365, 121,Undirected
178,366, 102,Undirected
179,370, 27,Undirected
180,375, 336,Undirected
181,381, 11,Undirected
182,381, 350,Undirected
183,384, 14,Undirected
184,391, 405,Undirected
185,403, 20,Undirected
186,413, 250,Undirected
187,416, 21,Undirected
188,424, 164,Undirected
189,424, 390,Undirected
190,427, 222,Undirected
191,428, 105,Undirected
192,428, 265,Undirected
193,432, 384,Undirected
194,436, 464,Undirected
195,437, 141,Undirected
196,438, 100,Undirected
197,447, 122,Undirected
198,450, 46,Undirected
199,450, 103,Undirected
200,452, 68,Undirected
201,453, 285,Undirected
202,455, 278,Undirected
203,460, 395,Undirected
204,462, 276,Undirected
205,463, 223,Undirected
206,463, 272,Undirected
207,465, 34,Undirected
208,465, 171,Undirected
209,465, 337,Undirected
210,473, 190,Undirected
211,476, 349,Undirected
212,477, 416,Undirected
213,479, 258,Undirected
214,481, 39,Undirected
215,482, 417,Undirected
216,485, 426,Undirected
217,487, 487,Undirected
218,488, 82,Undirected
219,488, 378,Undirected
220,488, 390,Undirected
221,491, 52,Undirected
222,492, 387,Undirected
223,498, 145,Undirected
224,498, 177,Undirected
