Id, Source, Target, Type
0,0, 9,Undirected
1,0, 22,Undirected
2,0, 29,Undirected
3,0, 32,Undirected
4,0, 60,Undirected
5,0, 75,Undirected
6,0, 80,Undirected
7,0, 86,Undirected
8,0, 99,Undirected
9,0, 104,Undirected
10,0, 131,Undirected
11,0, 135,Undirected
12,0, 152,Undirected
13,0, 155,Undirected
14,0, 170,Undirected
15,0, 184,Undirected
16,0, 191,Undirected
17,0, 206,Undirected
18,0, 220,Undirected
19,0, 221,Undirected
20,0, 235,Undirected
21,0, 248,Undirected
22,0, 260,Undirected
23,0, 261,Undirected
24,0, 280,Undirected
25,0, 291,Undirected
26,0, 297,Undirected
27,0, 301,Undirected
28,0, 315,Undirected
29,0, 323,Undirected
30,0, 332,Undirected
31,0, 342,Undirected
32,0, 355,Undirected
33,0, 360,Undirected
34,0, 364,Undirected
35,0, 376,Undirected
36,0, 385,Undirected
37,0, 402,Undirected
38,0, 403,Undirected
39,0, 418,Undirected
40,0, 423,Undirected
41,0, 424,Undirected
42,0, 440,Undirected
43,0, 443,Undirected
44,0, 445,Undirected
45,0, 464,Undirected
46,0, 470,Undirected
47,0, 475,Undirected
48,0, 479,Undirected
49,0, 488,Undirected
50,0, 489,Undirected
51,0, 493,Undirected
52,1, 14,Undirected
53,1, 31,Undirected
54,1, 33,Undirected
55,1, 55,Undirected
56,1, 57,Undirected
57,1, 59,Undirected
58,1, 63,Undirected
59,1, 71,Undirected
60,1, 86,Undirected
61,1, 89,Undirected
62,1, 93,Undirected
63,1, 112,Undirected
64,1, 117,Undirected
65,1, 119,Undirected
66,1, 147,Undirected
67,1, 160,Undirected
68,1, 172,Undirected
69,1, 181,Undirected
70,1, 182,Undirected
71,1, 184,Undirected
72,1, 234,Undirected
73,1, 242,Undirected
74,1, 243,Undirected
75,1, 247,Undirected
76,1, 283,Undirected
77,1, 286,Undirected
78,1, 290,Undirected
79,1, 292,Undirected
80,1, 295,Undirected
81,1, 296,Undirected
82,1, 299,Undirected
83,1, 303,Undirected
84,1, 306,Undirected
85,1, 323,Undirected
86,1, 329,Undirected
87,1, 333,Undirected
88,1, 335,Undirected
89,1, 359,Undirected
90,1, 368,Undirected
91,1, 379,Undirected
92,1, 401,Undirected
93,1, 408,Undirected
94,1, 430,Undirected
95,1, 453,Undirected
96,1, 474,Undirected
97,1, 495,Undirected
98,2, 14,Undirected
99,2, 17,Undirected
100,2, 35,Undirected
101,2, 39,Undirected
102,2, 55,Undirected
103,2, 56,Undirected
104,2, 70,Undirected
105,2, 76,Undirected
106,2, 80,Undirected
107,2, 105,Undirected
108,2, 107,Undirected
109,2, 114,Undirected
110,2, 129,Undirected
111,2, 149,Undirected
112,2, 156,Undirected
113,2, 175,Undirected
114,2, 176,Undirected
115,2, 190,Undirected
116,2, 193,Undirected
117,2, 200,Undirected
118,2, 214,Undirected
119,2, 224,Undirected
120,2, 225,Undirected
121,2, 227,Undirected
122,2, 233,Undirected
123,2, 255,Undirected
124,2, 258,Undirected
125,2, 279,Undirected
126,2, 286,Undirected
127,2, 290,Undirected
128,2, 322,Undirected
129,2, 323,Undirected
130,2, 341,Undirected
131,2, 357,Undirected
132,2, 365,Undirected
133,2, 373,Undirected
134,2, 396,Undirected
135,2, 400,Undirected
136,2, 416,Undirected
137,2, 419,Undirected
138,2, 425,Undirected
139,2, 432,Undirected
140,2, 434,Undirected
141,2, 446,Undirected
142,2, 486,Undirected
143,2, 490,Undirected
144,2, 492,Undirected
145,3, 7,Undirected
146,3, 20,Undirected
147,3, 45,Undirected
148,3, 52,Undirected
149,3, 72,Undirected
150,3, 74,Undirected
151,3, 83,Undirected
152,3, 126,Undirected
153,3, 128,Undirected
154,3, 135,Undirected
155,3, 139,Undirected
156,3, 171,Undirected
157,3, 193,Undirected
158,3, 204,Undirected
159,3, 244,Undirected
160,3, 245,Undirected
161,3, 254,Undirected
162,3, 257,Undirected
163,3, 268,Undirected
164,3, 277,Undirected
165,3, 288,Undirected
166,3, 292,Undirected
167,3, 313,Undirected
168,3, 323,Undirected
169,3, 325,Undirected
170,3, 382,Undirected
171,3, 405,Undirected
172,3, 415,Undirected
173,3, 432,Undirected
174,3, 472,Undirected
175,3, 475,Undirected
176,3, 478,Undirected
177,3, 496,Undirected
178,4, 20,Undirected
179,4, 43,Undirected
180,4, 53,Undirected
181,4, 65,Undirected
182,4, 75,Undirected
183,4, 82,Undirected
184,4, 88,Undirected
185,4, 93,Undirected
186,4, 97,Undirected
187,4, 103,Undirected
188,4, 108,Undirected
189,4, 119,Undirected
190,4, 120,Undirected
191,4, 121,Undirected
192,4, 123,Undirected
193,4, 144,Undirected
194,4, 148,Undirected
195,4, 158,Undirected
196,4, 159,Undirected
197,4, 176,Undirected
198,4, 179,Undirected
199,4, 191,Undirected
200,4, 226,Undirected
201,4, 233,Undirected
202,4, 242,Undirected
203,4, 243,Undirected
204,4, 250,Undirected
205,4, 256,Undirected
206,4, 293,Undirected
207,4, 299,Undirected
208,4, 317,Undirected
209,4, 322,Undirected
210,4, 332,Undirected
211,4, 333,Undirected
212,4, 339,Undirected
213,4, 363,Undirected
214,4, 372,Undirected
215,4, 374,Undirected
216,4, 378,Undirected
217,4, 380,Undirected
218,4, 386,Undirected
219,4, 388,Undirected
220,4, 400,Undirected
221,4, 401,Undirected
222,4, 416,Undirected
223,4, 431,Undirected
224,4, 438,Undirected
225,4, 448,Undirected
226,4, 463,Undirected
227,4, 468,Undirected
228,4, 476,Undirected
229,4, 477,Undirected
230,4, 490,Undirected
231,4, 491,Undirected
232,4, 494,Undirected
233,4, 495,Undirected
234,5, 19,Undirected
235,5, 25,Undirected
236,5, 33,Undirected
237,5, 36,Undirected
238,5, 46,Undirected
239,5, 52,Undirected
240,5, 56,Undirected
241,5, 59,Undirected
242,5, 97,Undirected
243,5, 107,Undirected
244,5, 112,Undirected
245,5, 116,Undirected
246,5, 125,Undirected
247,5, 135,Undirected
248,5, 140,Undirected
249,5, 149,Undirected
250,5, 153,Undirected
251,5, 178,Undirected
252,5, 186,Undirected
253,5, 192,Undirected
254,5, 197,Undirected
255,5, 205,Undirected
256,5, 211,Undirected
257,5, 224,Undirected
258,5, 239,Undirected
259,5, 244,Undirected
260,5, 252,Undirected
261,5, 254,Undirected
262,5, 265,Undirected
263,5, 274,Undirected
264,5, 275,Undirected
265,5, 280,Undirected
266,5, 318,Undirected
267,5, 341,Undirected
268,5, 350,Undirected
269,5, 354,Undirected
270,5, 355,Undirected
271,5, 369,Undirected
272,5, 370,Undirected
273,5, 371,Undirected
274,5, 372,Undirected
275,5, 380,Undirected
276,5, 385,Undirected
277,5, 389,Undirected
278,5, 411,Undirected
279,5, 429,Undirected
280,5, 438,Undirected
281,5, 450,Undirected
282,5, 453,Undirected
283,5, 473,Undirected
284,5, 485,Undirected
285,5, 488,Undirected
286,6, 16,Undirected
287,6, 43,Undirected
288,6, 61,Undirected
289,6, 67,Undirected
290,6, 77,Undirected
291,6, 80,Undirected
292,6, 104,Undirected
293,6, 106,Undirected
294,6, 110,Undirected
295,6, 121,Undirected
296,6, 144,Undirected
297,6, 177,Undirected
298,6, 182,Undirected
299,6, 191,Undirected
300,6, 192,Undirected
301,6, 202,Undirected
302,6, 217,Undirected
303,6, 241,Undirected
304,6, 243,Undirected
305,6, 261,Undirected
306,6, 264,Undirected
307,6, 268,Undirected
308,6, 269,Undirected
309,6, 270,Undirected
310,6, 284,Undirected
311,6, 295,Undirected
312,6, 296,Undirected
313,6, 299,Undirected
314,6, 304,Undirected
