Id, Source, Target, Type
0,0, 123,Undirected
1,0, 379,Undirected
2,1, 392,Undirected
3,1, 594,Undirected
4,1, 697,Undirected
5,3, 261,Undirected
6,4, 426,Undirected
7,6, 366,Undirected
8,8, 319,Undirected
9,8, 561,Undirected
10,8, 926,Undirected
11,9, 789,Undirected
12,13, 83,Undirected
13,13, 261,Undirected
14,13, 539,Undirected
15,13, 945,Undirected
16,16, 493,Undirected
17,18, 596,Undirected
18,20, 13,Undirected
19,20, 274,Undirected
20,21, 684,Undirected
21,23, 384,Undirected
22,24, 200,Undirected
23,24, 758,Undirected
24,25, 109,Undirected
25,27, 960,Undirected
26,29, 504,Undirected
27,29, 992,Undirected
28,29, 998,Undirected
29,34, 160,Undirected
30,36, 749,Undirected
31,37, 141,Undirected
32,37, 730,Undirected
33,37, 963,Undirected
34,39, 719,Undirected
35,40, 162,Undirected
36,40, 663,Undirected
37,40, 978,Undirected
38,41, 144,Undirected
39,41, 449,Undirected
40,42, 158,Undirected
41,42, 699,Undirected
42,43, 78,Undirected
43,43, 800,Undirected
44,46, 694,Undirected
45,47, 698,Undirected
46,47, 719,Undirected
47,47, 741,Undirected
48,48, 249,Undirected
49,48, 996,Undirected
50,50, 509,Undirected
51,50, 686,Undirected
52,50, 947,Undirected
53,52, 559,Undirected
54,53, 72,Undirected
55,54, 213,Undirected
56,55, 801,Undirected
57,58, 790,Undirected
58,60, 87,Undirected
59,60, 230,Undirected
60,62, 612,Undirected
61,65, 231,Undirected
62,68, 76,Undirected
63,68, 859,Undirected
64,69, 55,Undirected
65,71, 558,Undirected
66,71, 784,Undirected
67,71, 929,Undirected
68,72, 121,Undirected
69,74, 187,Undirected
70,74, 453,Undirected
71,76, 404,Undirected
72,76, 898,Undirected
73,78, 561,Undirected
74,78, 735,Undirected
75,78, 746,Undirected
76,80, 900,Undirected
77,82, 712,Undirected
78,82, 783,Undirected
79,85, 400,Undirected
80,85, 870,Undirected
81,87, 728,Undirected
82,87, 907,Undirected
83,89, 33,Undirected
84,90, 46,Undirected
85,90, 476,Undirected
86,91, 291,Undirected
87,91, 954,Undirected
88,95, 17,Undirected
89,95, 852,Undirected
90,97, 90,Undirected
91,98, 917,Undirected
92,99, 765,Undirected
93,99, 959,Undirected
94,101, 501,Undirected
95,103, 67,Undirected
96,103, 332,Undirected
