Id, Source, Target, Type
0,0, 1,Undirected
1,0, 2,Undirected
2,0, 3,Undirected
3,0, 4,Undirected
4,1, 2,Undirected
5,1, 3,Undirected
6,1, 4,Undirected
7,2, 3,Undirected
8,2, 4,Undirected
9,3, 4,Undirected
10,1, 5,Undirected
11,3, 5,Undirected
12,2, 5,Undirected
13,4, 5,Undirected
14,0, 6,Undirected
15,3, 6,Undirected
16,2, 6,Undirected
17,4, 6,Undirected
18,0, 7,Undirected
19,6, 7,Undirected
20,2, 7,Undirected
21,1, 7,Undirected
22,2, 8,Undirected
23,3, 8,Undirected
24,4, 8,Undirected
25,6, 8,Undirected
26,7, 9,Undirected
27,4, 9,Undirected
28,3, 9,Undirected
29,2, 9,Undirected
30,8, 10,Undirected
31,0, 10,Undirected
32,2, 10,Undirected
33,3, 10,Undirected
34,4, 11,Undirected
35,8, 11,Undirected
36,10, 11,Undirected
37,9, 11,Undirected
38,4, 12,Undirected
39,3, 12,Undirected
40,2, 12,Undirected
41,8, 12,Undirected
42,9, 13,Undirected
43,5, 13,Undirected
44,11, 13,Undirected
45,1, 13,Undirected
46,3, 14,Undirected
47,8, 14,Undirected
48,1, 14,Undirected
49,4, 14,Undirected
50,12, 15,Undirected
51,1, 15,Undirected
52,13, 15,Undirected
53,2, 15,Undirected
54,1, 16,Undirected
55,5, 16,Undirected
56,4, 16,Undirected
57,11, 16,Undirected
58,9, 17,Undirected
59,15, 17,Undirected
60,14, 17,Undirected
61,6, 17,Undirected
62,6, 18,Undirected
63,5, 18,Undirected
64,3, 18,Undirected
65,12, 18,Undirected
66,1, 19,Undirected
67,12, 19,Undirected
68,7, 19,Undirected
69,2, 19,Undirected
70,10, 20,Undirected
71,4, 20,Undirected
72,1, 20,Undirected
73,19, 20,Undirected
74,15, 21,Undirected
75,1, 21,Undirected
76,7, 21,Undirected
77,19, 21,Undirected
78,21, 22,Undirected
79,12, 22,Undirected
80,20, 22,Undirected
81,2, 22,Undirected
82,7, 23,Undirected
83,16, 23,Undirected
84,2, 23,Undirected
85,15, 23,Undirected
86,1, 24,Undirected
87,3, 24,Undirected
88,10, 24,Undirected
89,8, 24,Undirected
90,23, 25,Undirected
91,4, 25,Undirected
92,15, 25,Undirected
93,6, 25,Undirected
94,25, 26,Undirected
95,3, 26,Undirected
96,11, 26,Undirected
97,14, 26,Undirected
98,0, 27,Undirected
99,6, 27,Undirected
100,1, 27,Undirected
101,19, 27,Undirected
102,4, 28,Undirected
103,14, 28,Undirected
104,3, 28,Undirected
105,9, 28,Undirected
106,25, 29,Undirected
107,16, 29,Undirected
108,9, 29,Undirected
109,22, 29,Undirected
110,6, 30,Undirected
111,3, 30,Undirected
112,22, 30,Undirected
113,23, 30,Undirected
114,19, 31,Undirected
115,21, 31,Undirected
116,1, 31,Undirected
117,26, 31,Undirected
118,6, 32,Undirected
119,2, 32,Undirected
