Id, Source, Target, Type
0,0, 1,Undirected
1,0, 2,Undirected
2,0, 3,Undirected
3,0, 4,Undirected
4,1, 2,Undirected
5,1, 3,Undirected
6,1, 4,Undirected
7,2, 3,Undirected
8,2, 4,Undirected
9,3, 4,Undirected
10,2, 5,Undirected
11,1, 5,Undirected
12,0, 5,Undirected
13,3, 5,Undirected
14,2, 6,Undirected
15,0, 6,Undirected
16,5, 6,Undirected
17,3, 6,Undirected
18,0, 7,Undirected
19,2, 7,Undirected
20,3, 7,Undirected
21,4, 7,Undirected
22,7, 8,Undirected
23,3, 8,Undirected
24,4, 8,Undirected
25,1, 8,Undirected
26,5, 9,Undirected
27,8, 9,Undirected
28,3, 9,Undirected
29,2, 9,Undirected
30,1, 10,Undirected
31,5, 10,Undirected
32,2, 10,Undirected
33,0, 10,Undirected
34,4, 11,Undirected
35,7, 11,Undirected
36,6, 11,Undirected
37,0, 11,Undirected
38,2, 12,Undirected
39,5, 12,Undirected
40,0, 12,Undirected
41,8, 12,Undirected
42,2, 13,Undirected
43,4, 13,Undirected
44,7, 13,Undirected
45,3, 13,Undirected
46,4, 14,Undirected
47,5, 14,Undirected
48,9, 14,Undirected
49,0, 14,Undirected
50,3, 15,Undirected
51,4, 15,Undirected
52,11, 15,Undirected
53,1, 15,Undirected
54,14, 16,Undirected
55,4, 16,Undirected
56,2, 16,Undirected
57,10, 16,Undirected
58,15, 17,Undirected
59,10, 17,Undirected
60,7, 17,Undirected
61,11, 17,Undirected
62,10, 18,Undirected
63,6, 18,Undirected
64,1, 18,Undirected
65,5, 18,Undirected
66,11, 19,Undirected
67,4, 19,Undirected
68,1, 19,Undirected
69,17, 19,Undirected
70,11, 20,Undirected
71,0, 20,Undirected
72,2, 20,Undirected
73,9, 20,Undirected
74,2, 21,Undirected
75,10, 21,Undirected
76,0, 21,Undirected
77,1, 21,Undirected
78,8, 22,Undirected
79,11, 22,Undirected
80,10, 22,Undirected
81,17, 22,Undirected
82,11, 23,Undirected
83,5, 23,Undirected
84,2, 23,Undirected
85,19, 23,Undirected
86,4, 24,Undirected
87,1, 24,Undirected
88,3, 24,Undirected
89,5, 24,Undirected
90,1, 25,Undirected
91,18, 25,Undirected
92,2, 25,Undirected
93,0, 25,Undirected
94,0, 26,Undirected
95,14, 26,Undirected
96,3, 26,Undirected
97,10, 26,Undirected
98,15, 27,Undirected
99,2, 27,Undirected
100,10, 27,Undirected
101,11, 27,Undirected
102,22, 28,Undirected
103,4, 28,Undirected
104,5, 28,Undirected
105,21, 28,Undirected
106,0, 29,Undirected
107,21, 29,Undirected
108,2, 29,Undirected
109,25, 29,Undirected
110,17, 30,Undirected
111,15, 30,Undirected
112,0, 30,Undirected
113,7, 30,Undirected
114,1, 31,Undirected
115,12, 31,Undirected
116,22, 31,Undirected
117,15, 31,Undirected
118,2, 32,Undirected
119,1, 32,Undirected
