Id, Source, Target
0,789, 2554
1,26, 4624
2,184, 1674
3,1597, 1958
4,28, 902
5,1328, 2979
6,1598, 3008
7,225, 420
8,15, 4707
9,22, 2126
10,766, 4031
11,160, 4031
12,179, 358
13,1477, 4314
14,2752, 4824
15,1315, 3581
16,2027, 4439
17,19, 4111
18,1439, 4834
19,323, 1126
20,468, 3660
21,6, 502
22,894, 942
23,306, 1018
24,41, 84
25,371, 3858
26,41, 81
27,1325, 2069
28,13, 163
29,2080, 4935
30,1787, 4178
31,1862, 4357
32,1513, 4018
33,73, 2406
34,698, 732
35,375, 2138
36,3, 1684
37,1049, 2066
38,183, 696
39,515, 2724
40,155, 1307
41,1727, 2532
42,1009, 1522
43,403, 3444
44,467, 3161
45,41, 1730
46,1033, 3666
47,174, 2553
48,66, 1414
49,2065, 2622
50,348, 911
51,66, 1419
52,633, 769
53,2699, 4902
54,566, 3654
55,2418, 4651
56,332, 1906
57,222, 4750
58,222, 4757
59,1420, 2568
60,233, 1045
61,2348, 4930
62,621, 3183
63,144, 518
64,182, 2565
65,3229, 3766
66,688, 4738
67,3724, 3830
68,256, 1698
69,24, 2617
70,23, 1700
71,1389, 2533
72,321, 1702
73,1072, 2613
74,1909, 2572
75,221, 916
76,15, 4142
77,889, 1600
78,202, 3853
79,1783, 3771
80,5, 384
81,14, 3865
82,3303, 4207
83,1169, 1285
84,1643, 2075
85,193, 2330
86,4, 3253
87,80, 156
88,107, 185
89,80, 154
90,13, 3177
91,6, 2201
92,17, 366
93,55, 551
94,651, 4974
95,1831, 3262
96,20, 310
97,100, 1190
98,780, 1205
99,17, 369
100,992, 1919
101,2530, 3711
102,118, 3650
103,1880, 2748
104,194, 413
105,1767, 4517
106,2420, 4663
107,73, 2888
108,500, 2183
109,327, 587
110,353, 4663
111,254, 4238
112,665, 779
113,78, 1508
114,34, 76
115,34, 77
116,1956, 1957
117,19, 740
118,101, 4058
119,1018, 4220
120,1854, 3913
121,1967, 3171
122,227, 823
123,690, 2699
124,5, 165
125,1630, 3890
126,35, 4356
127,5, 161
128,750, 2900
129,2703, 3520
130,1577, 2429
131,3, 1269
132,126, 2297
133,68, 92
134,482, 1163
135,402, 478
136,3, 897
137,604, 3299
138,1004, 2855
139,505, 2299
140,2699, 4412
141,2589, 4447
142,1679, 3344
